Router located at x=6311, y=6890 with reach=60ft
Router located at x=4242, y=8376 with reach=174ft
Router located at x=6634, y=4969 with reach=172ft
Router located at x=5866, y=9558 with reach=105ft
Router located at x=8268, y=2281 with reach=122ft
Router located at x=2289, y=1553 with reach=114ft
Router located at x=8725, y=9861 with reach=87ft
Router located at x=5081, y=1618 with reach=68ft
Router located at x=5409, y=7735 with reach=193ft
Router located at x=1649, y=5796 with reach=161ft
Router located at x=5180, y=3350 with reach=191ft
Router located at x=7815, y=7253 with reach=183ft
Router located at x=4267, y=1020 with reach=190ft
Router located at x=230, y=1528 with reach=152ft
Router located at x=18, y=8086 with reach=135ft
Router located at x=3996, y=5328 with reach=66ft
Router located at x=3130, y=9298 with reach=106ft
Router located at x=3909, y=2334 with reach=189ft
Router located at x=7339, y=1494 with reach=70ft
Router located at x=5243, y=8322 with reach=175ft
Router located at x=1786, y=4938 with reach=191ft
Router located at x=4769, y=2044 with reach=190ft
Router located at x=5451, y=8852 with reach=102ft
Router located at x=9882, y=8965 with reach=200ft
Router located at x=4712, y=7290 with reach=73ft
Router located at x=9769, y=6306 with reach=131ft
Router located at x=9431, y=3966 with reach=124ft
Router located at x=3012, y=3102 with reach=97ft
Router located at x=540, y=4260 with reach=171ft
Router located at x=1131, y=1471 with reach=83ft
Router located at x=2450, y=633 with reach=70ft
Router located at x=8857, y=6410 with reach=184ft
Router located at x=4515, y=8549 with reach=110ft
Router located at x=3525, y=9663 with reach=157ft
Router located at x=9497, y=4509 with reach=165ft
Router located at x=8071, y=5855 with reach=71ft
Router located at x=5313, y=1889 with reach=174ft
Router located at x=9618, y=5493 with reach=98ft
Router located at x=3981, y=265 with reach=119ft
Router located at x=1919, y=3612 with reach=145ft
Router located at x=2793, y=5448 with reach=159ft
Router located at x=1018, y=1648 with reach=87ft
Router located at x=3584, y=741 with reach=196ft
Router located at x=8752, y=9865 with reach=68ft
Router located at x=437, y=2038 with reach=98ft
Router located at x=9934, y=9436 with reach=80ft
Router located at x=6409, y=1499 with reach=144ft
Router located at x=1901, y=596 with reach=55ft
Router located at x=3188, y=3030 with reach=81ft
Router located at x=7851, y=3450 with reach=65ft
Router located at x=373, y=8916 with reach=158ft
Router located at x=1662, y=4258 with reach=67ft
Router located at x=3618, y=1179 with reach=127ft
Router located at x=5739, y=7144 with reach=96ft
Router located at x=1000, y=8251 with reach=169ft
Router located at x=645, y=9772 with reach=75ft
Router located at x=6410, y=3266 with reach=116ft
Router located at x=5874, y=7704 with reach=195ft
Router located at x=2775, y=3332 with reach=64ft
Router located at x=2592, y=2653 with reach=137ft
Router located at x=8674, y=4107 with reach=80ft
Router located at x=9777, y=7246 with reach=94ft
Router located at x=216, y=7727 with reach=154ft
Router located at x=9324, y=8332 with reach=129ft
Router located at x=5851, y=6367 with reach=114ft
Router located at x=2513, y=9184 with reach=53ft
Router located at x=7503, y=1295 with reach=135ft
Router located at x=748, y=8918 with reach=121ft
Router located at x=2209, y=3934 with reach=173ft
Router located at x=5770, y=9996 with reach=123ft
Router located at x=5885, y=9671 with reach=83ft
Router located at x=5083, y=6357 with reach=156ft
Router located at x=1322, y=24 with reach=99ft
Router located at x=5478, y=2622 with reach=111ft
Router located at x=3655, y=7342 with reach=146ft
Router located at x=9308, y=6789 with reach=58ft
Router located at x=6590, y=9297 with reach=157ft
Router located at x=766, y=2714 with reach=164ft
Router located at x=1046, y=4247 with reach=90ft
Router located at x=7313, y=8643 with reach=174ft
Router located at x=9198, y=9895 with reach=50ft
Router located at x=637, y=8103 with reach=133ft
Router located at x=5112, y=7649 with reach=62ft
Router located at x=6801, y=3080 with reach=190ft
Router located at x=1367, y=2138 with reach=53ft
Router located at x=6583, y=6840 with reach=130ft
Router located at x=55, y=3498 with reach=53ft
Router located at x=38, y=8656 with reach=75ft
Router located at x=3120, y=1948 with reach=100ft
Router located at x=4954, y=4587 with reach=96ft
Router located at x=1641, y=7792 with reach=151ft
Router located at x=1332, y=357 with reach=120ft
Router located at x=7421, y=1896 with reach=115ft
Router located at x=2185, y=8533 with reach=138ft
Router located at x=1885, y=2530 with reach=121ft
Router located at x=304, y=693 with reach=60ft
Router located at x=3370, y=4254 with reach=192ft
Router located at x=5156, y=6011 with reach=195ft
Router located at x=688, y=9954 with reach=176ft
Router located at x=7514, y=7134 with reach=145ft
Router located at x=8813, y=2921 with reach=103ft
Router located at x=6153, y=9619 with reach=124ft
Router located at x=145, y=2268 with reach=88ft
Router located at x=4446, y=5462 with reach=136ft
Router located at x=6016, y=1535 with reach=136ft
Router located at x=584, y=675 with reach=119ft
Router located at x=2684, y=2448 with reach=199ft
Router located at x=4743, y=5913 with reach=151ft
Router located at x=8986, y=2124 with reach=125ft
Router located at x=1882, y=7832 with reach=111ft
Router located at x=790, y=5044 with reach=95ft
Router located at x=8569, y=1161 with reach=127ft
Router located at x=6605, y=5382 with reach=126ft
Router located at x=6794, y=1780 with reach=75ft
Router located at x=9188, y=7883 with reach=171ft
Router located at x=5522, y=5630 with reach=81ft
Router located at x=7849, y=1900 with reach=177ft
Router located at x=6988, y=619 with reach=127ft
Router located at x=5489, y=2550 with reach=92ft
Router located at x=9248, y=6153 with reach=72ft
Router located at x=1078, y=1387 with reach=100ft
Router located at x=3621, y=1001 with reach=148ft
Router located at x=128, y=1606 with reach=150ft
Router located at x=9117, y=8503 with reach=124ft
Router located at x=7348, y=8005 with reach=199ft
Router located at x=3559, y=6931 with reach=71ft
Router located at x=6034, y=3606 with reach=116ft
Router located at x=9588, y=2729 with reach=160ft
Router located at x=3144, y=5873 with reach=79ft
Router located at x=1046, y=452 with reach=184ft
Router located at x=7399, y=3304 with reach=80ft
Router located at x=8144, y=6520 with reach=115ft
Router located at x=3395, y=689 with reach=105ft
Router located at x=2397, y=1714 with reach=100ft
Router located at x=7510, y=6193 with reach=142ft
Router located at x=8952, y=2479 with reach=76ft
Router located at x=9768, y=7993 with reach=87ft
Router located at x=9239, y=6650 with reach=158ft
Router located at x=8539, y=8116 with reach=132ft
Router located at x=8166, y=8169 with reach=101ft
Router located at x=8893, y=9990 with reach=106ft
Router located at x=159, y=5574 with reach=131ft
Router located at x=5272, y=581 with reach=184ft
Router located at x=2430, y=4208 with reach=89ft
Router located at x=6209, y=9551 with reach=125ft
Router located at x=7707, y=1087 with reach=71ft
Router located at x=8462, y=645 with reach=66ft
Router located at x=3687, y=2138 with reach=60ft
Router located at x=4922, y=250 with reach=164ft
Router located at x=5416, y=2632 with reach=88ft
Router located at x=7548, y=6083 with reach=179ft
Router located at x=6262, y=8680 with reach=178ft
Router located at x=550, y=9402 with reach=73ft
Router located at x=8486, y=9832 with reach=69ft
Router located at x=6985, y=3376 with reach=124ft
Router located at x=8772, y=9807 with reach=156ft
Router located at x=7900, y=6366 with reach=200ft
Router located at x=3826, y=335 with reach=50ft
Router located at x=2981, y=4955 with reach=179ft
Router located at x=9343, y=4169 with reach=135ft
Router located at x=1075, y=8085 with reach=117ft
Router located at x=4961, y=6685 with reach=148ft
Router located at x=6286, y=1020 with reach=91ft
Router located at x=2086, y=3914 with reach=123ft
Router located at x=5472, y=909 with reach=59ft
Router located at x=7886, y=6846 with reach=86ft
Router located at x=8058, y=9862 with reach=70ft
Router located at x=2480, y=5779 with reach=155ft
Router located at x=576, y=7639 with reach=148ft
Router located at x=7518, y=770 with reach=75ft
Router located at x=7715, y=2480 with reach=55ft
Router located at x=531, y=9802 with reach=83ft
Router located at x=5306, y=1725 with reach=190ft
Router located at x=5679, y=3194 with reach=148ft
Router located at x=8033, y=1818 with reach=65ft
Router located at x=9996, y=7654 with reach=136ft
Router located at x=2036, y=4855 with reach=82ft
Router located at x=6351, y=4813 with reach=81ft
Router located at x=8503, y=3098 with reach=59ft
Router located at x=6422, y=7283 with reach=145ft
Router located at x=3120, y=7462 with reach=141ft
Router located at x=1234, y=731 with reach=60ft
Router located at x=7965, y=4184 with reach=56ft
Router located at x=8520, y=9326 with reach=196ft
Router located at x=3538, y=3762 with reach=73ft
Router located at x=8231, y=8580 with reach=157ft
Router located at x=8308, y=5002 with reach=79ft
Router located at x=2386, y=6979 with reach=194ft
Router located at x=6914, y=1376 with reach=76ft
Router located at x=6809, y=1030 with reach=75ft
Router located at x=6802, y=2558 with reach=57ft
Router located at x=7319, y=7062 with reach=156ft
Router located at x=493, y=8136 with reach=133ft
Router located at x=4138, y=1286 with reach=140ft
Router located at x=1152, y=1988 with reach=141ft
Router located at x=481, y=5659 with reach=139ft
Router located at x=2914, y=163 with reach=109ft
Router located at x=5993, y=1155 with reach=86ft
Router located at x=3407, y=52 with reach=102ft
Router located at x=2018, y=117 with reach=125ft
Router located at x=6047, y=403 with reach=109ft
Router located at x=2324, y=3063 with reach=166ft
Router located at x=1841, y=7810 with reach=138ft
Router located at x=4230, y=2132 with reach=57ft
Router located at x=3409, y=5934 with reach=135ft
Router located at x=7755, y=4794 with reach=125ft
Router located at x=9063, y=5357 with reach=97ft
Router located at x=9716, y=1323 with reach=76ft
Router located at x=8736, y=9516 with reach=128ft
Router located at x=2562, y=6170 with reach=87ft
Router located at x=2051, y=3650 with reach=130ft
Router located at x=8328, y=3978 with reach=110ft
Router located at x=3013, y=4768 with reach=145ft
Router located at x=6877, y=757 with reach=83ft
Router located at x=9850, y=336 with reach=150ft
Router located at x=1276, y=1199 with reach=83ft
Router located at x=6885, y=4905 with reach=190ft
Router located at x=6828, y=2331 with reach=158ft
Router located at x=4882, y=5809 with reach=71ft
Router located at x=4064, y=7287 with reach=144ft
Router located at x=8670, y=947 with reach=146ft
Router located at x=6694, y=138 with reach=156ft
Router located at x=5253, y=7230 with reach=102ft
Router located at x=6088, y=4805 with reach=170ft
Router located at x=1491, y=3038 with reach=77ft
Router located at x=4537, y=1837 with reach=192ft
Router located at x=9921, y=2521 with reach=164ft
Router located at x=6533, y=3037 with reach=157ft
Router located at x=7073, y=2862 with reach=113ft
Router located at x=7429, y=5576 with reach=183ft
Router located at x=2335, y=5822 with reach=168ft
Router located at x=1417, y=7918 with reach=102ft
Router located at x=4828, y=30 with reach=164ft
Router located at x=7569, y=127 with reach=105ft
Router located at x=4891, y=1875 with reach=127ft
Router located at x=8932, y=9980 with reach=89ft
Router located at x=6950, y=7723 with reach=73ft
Router located at x=8153, y=3807 with reach=189ft
Router located at x=6640, y=4588 with reach=55ft
Router located at x=1979, y=4424 with reach=60ft
Router located at x=4, y=4203 with reach=151ft
Router located at x=8619, y=9529 with reach=151ft
Router located at x=7284, y=1671 with reach=114ft
Router located at x=5797, y=4643 with reach=100ft
Router located at x=9755, y=1396 with reach=59ft
Router located at x=1154, y=4300 with reach=128ft
Router located at x=8743, y=5568 with reach=80ft
Router located at x=8686, y=4080 with reach=91ft
Router located at x=1115, y=6796 with reach=124ft
Router located at x=4632, y=8516 with reach=84ft
Router located at x=9404, y=8569 with reach=103ft
Router located at x=8706, y=1725 with reach=155ft
Router located at x=8905, y=6609 with reach=121ft
Router located at x=4788, y=7247 with reach=145ft
Router located at x=9309, y=2257 with reach=90ft
Router located at x=2020, y=1974 with reach=147ft
Router located at x=6573, y=9683 with reach=169ft
Router located at x=2286, y=9168 with reach=126ft
Router located at x=5800, y=7744 with reach=156ft
Router located at x=3571, y=7810 with reach=175ft
Router located at x=8217, y=5214 with reach=176ft
Router located at x=986, y=7274 with reach=126ft
Router located at x=2339, y=8118 with reach=63ft
Router located at x=3534, y=418 with reach=140ft
Router located at x=7725, y=6405 with reach=52ft
Router located at x=8631, y=1088 with reach=70ft
Router located at x=6473, y=105 with reach=142ft
Router located at x=674, y=1903 with reach=50ft
Router located at x=4429, y=4792 with reach=108ft
Router located at x=2304, y=9385 with reach=123ft
Router located at x=3132, y=1727 with reach=161ft
Router located at x=7551, y=5409 with reach=148ft
Router located at x=2756, y=5418 with reach=157ft
Router located at x=7131, y=2425 with reach=164ft
Router located at x=2416, y=8587 with reach=130ft
Router located at x=2117, y=3422 with reach=97ft
Router located at x=7276, y=5720 with reach=149ft
Router located at x=7000, y=8060 with reach=149ft
Router located at x=3607, y=3214 with reach=162ft
Router located at x=3346, y=9609 with reach=62ft
Router located at x=6362, y=545 with reach=109ft
Router located at x=1387, y=3059 with reach=143ft
Router located at x=933, y=2840 with reach=109ft
Router located at x=4874, y=1419 with reach=181ft
Router located at x=4660, y=5784 with reach=155ft
Router located at x=7508, y=883 with reach=182ft
Router located at x=8965, y=7055 with reach=198ft
Router located at x=7448, y=8031 with reach=115ft
Router located at x=7793, y=3529 with reach=136ft
Router located at x=4356, y=691 with reach=61ft
Router located at x=861, y=2668 with reach=139ft
