Router located at x=8980, y=1247 with reach=138ft
Router located at x=9806, y=9924 with reach=123ft
Router located at x=1421, y=8361 with reach=138ft
Router located at x=6437, y=6807 with reach=54ft
Router located at x=529, y=1699 with reach=163ft
Router located at x=3683, y=5727 with reach=71ft
Router located at x=8157, y=5395 with reach=188ft
Router located at x=6875, y=3266 with reach=164ft
Router located at x=2792, y=3595 with reach=161ft
Router located at x=6685, y=9217 with reach=184ft
Router located at x=3217, y=8906 with reach=158ft
Router located at x=4888, y=4559 with reach=181ft
Router located at x=3602, y=6729 with reach=170ft
Router located at x=8449, y=2354 with reach=128ft
Router located at x=4903, y=9618 with reach=170ft
Router located at x=6509, y=1625 with reach=144ft
Router located at x=2279, y=4326 with reach=88ft
Router located at x=5581, y=1134 with reach=191ft
Router located at x=6518, y=2675 with reach=156ft
Router located at x=6979, y=7644 with reach=122ft
Router located at x=2550, y=5259 with reach=102ft
Router located at x=4560, y=249 with reach=55ft
Router located at x=6529, y=6788 with reach=190ft
Router located at x=2226, y=7150 with reach=88ft
Router located at x=4754, y=155 with reach=62ft
Router located at x=646, y=5043 with reach=80ft
Router located at x=121, y=8491 with reach=64ft
Router located at x=631, y=8434 with reach=52ft
Router located at x=2479, y=2856 with reach=164ft
Router located at x=6055, y=3778 with reach=66ft
Router located at x=453, y=3157 with reach=115ft
Router located at x=8189, y=365 with reach=82ft
Router located at x=3194, y=1847 with reach=92ft
Router located at x=551, y=6198 with reach=107ft
Router located at x=3305, y=3331 with reach=186ft
Router located at x=3991, y=5462 with reach=108ft
Router located at x=17, y=1888 with reach=196ft
Router located at x=4134, y=5158 with reach=109ft
Router located at x=6795, y=908 with reach=132ft
Router located at x=6751, y=4822 with reach=197ft
Router located at x=2675, y=4720 with reach=154ft
Router located at x=1903, y=7124 with reach=63ft
Router located at x=6198, y=6729 with reach=177ft
Router located at x=443, y=5323 with reach=149ft
Router located at x=2242, y=2464 with reach=93ft
Router located at x=5642, y=7714 with reach=153ft
Router located at x=8414, y=1411 with reach=133ft
Router located at x=3250, y=7779 with reach=61ft
Router located at x=7257, y=3639 with reach=200ft
Router located at x=3834, y=7301 with reach=94ft
Router located at x=8397, y=5567 with reach=92ft
Router located at x=2881, y=513 with reach=166ft
Router located at x=867, y=8990 with reach=168ft
Router located at x=5112, y=890 with reach=77ft
Router located at x=4946, y=3806 with reach=131ft
Router located at x=3587, y=1918 with reach=98ft
Router located at x=9868, y=2697 with reach=101ft
Router located at x=1755, y=4103 with reach=131ft
Router located at x=5917, y=144 with reach=88ft
Router located at x=6059, y=3093 with reach=108ft
